date,spot_today,spot_next,return_1d,return_5d,realized_vol_20d,sigma_next,strike,dte_today,call_price,option_price_next,delta,gamma,theta,vega,portfolio_delta,portfolio_gamma,portfolio_theta,portfolio_vega,option_pnl,target_hedge_ratio_bucket,target_class,T
1999-04-08,47.0285,47.3124,0.0080336607814599,0.0572835287373119,0.3583958633762477,0.3584425100478169,47.0,30,1.9969197369804093,2.117348454357547,0.5323872269245793,0.0822881812778901,-12.379630625386122,5.361065287780731,53.23872269245793,8.22881812778901,-1237.963062538612,536.1065287780731,12.042871737713767,0.75,3.0,0.0821917808219178
1999-04-09,47.3124,47.0,0.0060367649404082,0.0417745600591872,0.3584425100478169,0.3450284921287417,47.0,30,2.151617768333807,1.8771457862461425,0.5556080852195642,0.081255884176665,-12.408664750065682,5.358616516692878,55.56080852195642,8.125588417666501,-1240.8664750065682,535.8616516692879,-27.447198208766466,1.0,4.0,0.0821917808219178
1999-04-12,47.0,46.3679,-0.0066029201646924,-0.0011921939982276,0.3450284921287417,0.3396117450242623,47.0,30,1.910124425510535,1.5319890254257906,0.5296483354417653,0.0855739383757186,-11.94117493665646,5.360688678374149,52.96483354417653,8.55739383757186,-1194.117493665646,536.0688678374149,-37.81354000847443,1.0,4.0,0.0821917808219178
1999-04-13,46.3679,44.7798,-0.0134489361702128,-0.0165040512450685,0.3396117450242623,0.3638211402849619,46.0,30,2.041845858417364,1.351205682507441,0.5619141745024502,0.0873017914266405,-11.544528430776191,5.239249750884564,56.19141745024502,8.730179142664051,-1154.452843077619,523.9249750884564,-69.06401759099232,0.75,3.0,0.0821917808219178
1999-04-14,44.7798,45.3877,-0.0342499875991795,-0.0401661604545834,0.3638211402849619,0.3649652424496489,45.0,30,1.8106005997598944,2.1096800050639573,0.5114731790382997,0.0853780325713518,-11.963480675766132,5.119490752841733,51.14731790382997,8.537803257135181,-1196.3480675766132,511.94907528417326,29.907940530406286,1.0,4.0,0.0821917808219178
1999-04-15,45.3877,44.0644,0.0135753174422394,-0.0348894819099057,0.3649652424496489,0.3750067397145824,45.0,30,2.1430539088600504,1.4895539532866273,0.5627206283063922,0.0829648626870409,-12.08458107787353,5.1268480569403865,56.27206283063922,8.29648626870409,-1208.458107787353,512.6848056940387,-65.34999555734231,1.0,4.0,0.0821917808219178
1999-04-16,44.0644,41.9901,-0.029155476043069,-0.0686500790490441,0.3750067397145824,0.4011400344039164,44.0,30,1.972977835693488,1.130481459078979,0.5359733191175245,0.0838684318309426,-12.099776736788156,5.01928328763001,53.597331911752455,8.38684318309426,-1209.9776736788156,501.928328763001,-84.2496376614509,0.75,3.0,0.0821917808219178
1999-04-19,41.9901,42.9446,-0.0470742821869808,-0.1065936170212766,0.4011400344039164,0.4076706401536784,42.0,30,1.970414477621695,2.5103948034916037,0.5306454631668159,0.082370002873497,-12.294241044137795,4.788365539480744,53.06454631668159,8.2370002873497,-1229.4241044137796,478.8365539480744,53.998032586990874,1.0,4.0,0.0821917808219178
1999-04-20,42.9446,45.0608,0.0227315486269383,-0.0738290929716463,0.4076706401536784,0.4201343525638853,43.0,30,2.025394404362679,3.3345444151922763,0.5273079679242024,0.0792973787230876,-12.77106668882282,4.900199716524219,52.73079679242024,7.929737872308761,-1277.106668882282,490.01997165242193,130.91500108295975,1.0,4.0,0.0821917808219178
1999-04-21,45.0608,46.2895,0.0492774411683889,0.0062751508492668,0.4201343525638853,0.4145385100040086,45.0,30,2.2467309945442366,2.894852242065774,0.5366134438992827,0.073193854537344,-13.774530424267024,5.132027771803961,53.66134438992827,7.319385453734401,-1377.4530424267025,513.2027771803961,64.81212475215372,1.0,4.0,0.0821917808219178
